[GIN] 2025/07/20 - 11:15:19 | 404 |     378.024µs |       127.0.0.1 | GET      "/api/v2/sso-providers"
[GIN] 2025/07/20 - 11:15:20 | 404 |       7.612µs |       127.0.0.1 | GET      "/api/v2/sso-providers"
[GIN] 2025/07/20 - 11:15:22 | 301 |      39.437µs |       127.0.0.1 | GET      "/ui/login"
[GIN] 2025/07/20 - 11:15:22 | 301 |      28.913µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      22.557µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      14.444µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |       12.22µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      10.066µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      11.021µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |       10.03µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      56.206µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |       11.49µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      10.794µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |       9.857µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      27.889µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |       9.753µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      10.125µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |       9.353µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |       8.953µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      14.662µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |       9.526µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      10.222µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:15:22 | 301 |      28.198µs |       127.0.0.1 | GET      "/ui/"
[GIN] 2025/07/20 - 11:18:03 | 200 |    3.949258ms |       127.0.0.1 | GET      "/"
[GIN] 2025/07/20 - 11:18:03 | 200 |     3.81848ms |       127.0.0.1 | GET      "/assets/index-CEWb-agC.js"
[GIN] 2025/07/20 - 11:18:03 | 200 |    1.040785ms |       127.0.0.1 | GET      "/assets/index-E4a1AlCS.css"
[GIN] 2025/07/20 - 11:18:04 | 200 |      22.304µs |       127.0.0.1 | GET      "/ligolo.svg"
[GIN] 2025/07/20 - 11:25:48 | 200 |      51.952µs |       127.0.0.1 | GET      "/assets/index-BseRt_Wq.js"
[GIN] 2025/07/20 - 11:26:43 | 200 |     858.495µs |       127.0.0.1 | GET      "/assets/index-D5ZqjQl1.js"
[GIN] 2025/07/20 - 11:28:59 | 200 |   35.002114ms |       127.0.0.1 | POST     "/api/auth"
[GIN] 2025/07/20 - 11:28:59 | 200 |      95.055µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:28:59 | 200 |     334.978µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:04 | 200 |      63.727µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:04 | 200 |     360.037µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:06 | 200 |      89.114µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:06 | 200 |     299.543µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:08 | 200 |      46.996µs |       127.0.0.1 | GET      "/api/v1/agents"
